severe,number_of_vehicles,number_of_casualties,speed_limit,road_type,urban_or_rural_area,junction_detail,day_of_week,hour,weather_conditions,road_surface_conditions,light_conditions,has_carriageway_hazard,has_vulnerable_vehicle,has_skidding_or_overturning,has_pedestrian_casualty,has_vulnerable_road_user
0,2,1,60,6,2,19,5,16,1,2,1,0,0,0,0,0
0,2,1,30,6,1,0,2,17,1,1,1,0,0,0,0,0
0,3,1,30,6,1,0,7,12,1,1,1,0,0,0,0,0
0,2,2,40,6,2,0,5,18,1,1,-99,0,0,0,0,0
0,2,1,40,3,2,13,2,16,1,1,1,0,0,0,0,0
0,2,1,40,3,1,13,2,8,1,2,1,0,1,0,0,1
0,2,1,40,3,1,0,4,19,1,1,4,0,1,0,0,1
0,1,1,30,6,1,0,5,18,1,1,1,0,0,0,1,1
0,2,1,30,3,1,0,3,14,1,1,1,0,1,1,0,1
0,2,2,30,1,1,0,7,19,1,1,1,0,0,0,0,0
0,2,1,30,6,2,0,7,17,1,1,6,0,1,0,0,1
0,2,1,30,7,2,-99,4,16,1,1,1,0,0,0,0,0
1,2,1,30,6,1,19,2,12,1,1,1,0,1,0,0,1
1,1,1,20,6,1,0,5,19,-99,-99,-99,0,0,0,0,0
1,1,1,30,1,2,-99,1,10,2,2,1,0,1,1,0,1
